gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
ANAPC11,True,True,True,0.22255784803597306,True
ANAPC13,True,True,True,0.16683078264235332,True
ANAPC2,True,True,True,0.13794166197355395,True
ANAPC4,True,True,True,0.15889064569984515,True
ANAPC5,True,True,True,0.1036889183470645,True
ANAPC7,True,True,True,0.10816020709637127,True
ANGEL1,True,True,True,0.14155127283586222,True
ANGEL2,True,True,True,0.16332389458487176,True
ANGPTL2,True,True,True,0.1581014647072699,True
ANK1,True,True,True,0.15802286939800086,True
ANK2,True,True,True,0.18815581394011008,True
ANK3,True,True,True,0.10913174919270534,True
ANKFY1,True,True,True,0.11120350093832634,True
ANKH,True,True,True,0.14149548465262507,True
ANKHD1,True,True,True,0.10351162607945531,True
ANKIB1,True,True,True,0.12611176049487352,True
ANKLE2,True,True,True,0.1069955874971707,True
ANKMY1,True,True,True,0.14783935044644664,True
ANKMY2,True,True,True,0.20591685679916746,True
ANKRA2,True,True,True,0.18682266619982882,True
ANKRD1,True,True,True,0.3466420120111507,True
ANKRD10,True,True,True,0.1487734147930854,True
ANKRD11,True,True,True,0.13103556932279237,True
ANKRD12,True,True,True,0.1569180022776725,True
ANKRD13A,True,True,True,0.1568813227291121,True
ANKRD13B,True,True,True,0.1869034237664009,True
ANKRD13C,True,True,True,0.12087722024146524,True
ANKRD13D,True,True,True,0.15762524730671648,True
ANKRD16,True,True,True,0.19914551683159948,True
ANKRD17,True,True,True,0.11167227102446815,True
ANKRD22,True,True,True,0.19066222726576518,True
ANKRD23,True,True,True,0.16703061958147083,True
ANKRD26,True,True,True,0.14554144675214042,True
ANKRD27,True,True,True,0.12548255265290967,True
ANKRD28,True,True,True,0.12468612596438014,True
ANKRD32,True,True,True,0.16476435196305156,True
ANKRD35,True,True,True,0.1609294129284058,True
ANKRD39,True,True,True,0.24585626282343467,True
ANKRD40,True,True,True,0.12112882698798935,True
ANKRD44,True,True,True,0.2684045781452237,True
ANKRD46,True,True,True,0.22856521912595698,True
ANKRD49,True,True,True,0.26673089672060735,True
ANKRD5,True,True,True,0.19186780687917018,True
ANKRD50,True,True,True,0.14917862288231795,True
ANKRD52,True,True,True,0.10505532309990272,True
ANKRD56,True,True,True,0.3328172494403096,True
ANKRD57,True,True,True,0.1302213420574748,True
ANKRD6,True,True,True,0.17638420717087208,True
ANKRD9,True,True,True,0.17980558720982834,True
ANKS1A,True,True,True,0.10812178825269543,True
ANKS3,True,True,True,0.15660072645162723,True
ANKS6,True,True,True,0.13457954770309086,True
ANKZF1,True,True,True,0.14097605574043823,True
ANLN,True,True,True,0.1123568209427936,True
ANO1,True,True,True,1.3982899447028974,True
