gene,stat
CDCA3,2.7804436698064294
NDE1,2.777106445977654
SNAPC1,2.7760173939124333
PTDSS1,2.775630082144109
EPHB2,2.775188472029644
YDJC,2.774997317585431
B3GNT5,2.774470067019673
CDH1,2.7713057226253333
ORC6L,2.770354893922135
CHST11,2.7660929507870677
SIAH1,2.7613764946577812
ELMO3,2.75917023759756
TP73,2.756477903975747
ARPC1A,2.7531402157389016
PYGL,2.750875133086427
IGSF3,2.750764622997017
PCSK9,2.748186747453454
FURIN,2.7449979416349475
AP1S1,2.7385311093926505
LRRC42,2.7377863818709267
C19orf26,2.737367361474995
PIP4K2C,2.7359651392427167
SHCBP1,2.7339230998155877
YWHAQ,2.733007753348394
KATNB1,2.7284814975276133
RALB,2.7277134411315136
PSPH,2.7260538168152397
SCPEP1,2.721489374377618
MYH10,2.716723216379425
SCD,2.7165408165557703
ANP32E,2.7137231456436703
CEP27,2.7103865647003484
SC65,2.709316805925899
UNC5B,2.6991195783251793
C22orf9,2.6964788523034287
ASNS,2.696292568569346
SNORD72,2.6962415936186948
C16orf57,2.694397919392999
CLSTN1,2.694229071245949
CHML,2.689547601120457
IFI6,2.689011323679466
BOK,2.687626891661131
FBXL8,2.676720212320894
KIAA1833,2.6751603133395996
MKI67,2.673074687981007
NRM,2.6709113307705867
SCN8A,2.6704863525969085
LRRC8E,2.66424841021844
PAWR,2.664225739370428
PSMG3,2.6545479716989826
DSC1,2.6524279311318084
SLC12A8,2.6510774263784476
FLJ37078,2.6501585194807555
GJA1,2.647636174163814
CDCA5,2.645390265368825
NCAPD2,2.6450510696765526
FCGBP,2.644580086209018
BCL7A,2.6436423573013386
IRF5,2.634472564981116
ATP13A2,2.6333619212815864
GSDMA,2.6333265772446204
FST,2.6214628385562224
KIAA1522,2.620405658946745
MFHAS1,2.6194805653378688
VPS18,2.6172661374758825
CDC42EP4,2.615629408624987
TMEM68,2.615579527020443
PLK1,2.6094121333631835
SNORA79,2.594306099560741
FUT1,2.5925277556648503
SENP5,2.5911979165001853
FZD10,2.5891750843789536
GALNTL4,2.5877692310739215
BUD31,2.5835160170601714
ADAM12,2.583087117522215
MDK,2.5823067384571763
FOSL1,2.5798142229098784
TM4SF1,2.576254025372843
OCIAD2,2.5675223525755513
ICHTHYIN,2.5670477639150104
SEMA4F,2.5582564953646987
REL,2.5541853147520444
CDC20,2.553861201589007
ARPC1B,2.544214538125734
MGAT2,2.5440541871912736
NXT2,2.5436017312930828
SLC2A9,2.5414887225340985
UBE2V1,2.5340500603927567
FERMT1,2.5328235921072446
SCD5,2.5277307880249604
ADAP1,2.5224395732189757
ZNF598,2.521838960971527
BCR,2.5204804903147138
PSMD3,2.520022224447026
CENPF,2.5198977045420565
PLOD3,2.5198279884600328
SNORA71D,2.5171187544957037
NXN,2.5142264390480853
RFWD3,2.5124312359500722
PARD6G,2.5098386207025167
CCT6A,2.5069473079424816
MBOAT2,2.5069229842975846
HPRT1,2.5058941487362447
PDIA6,2.5049838769244777
ZNF319,2.5032757080598174
HS1BP3,2.5013699964776683
C13orf15,2.501234935028515
C20orf3,2.4965660988323806
SMURF1,2.4947355295154825
CASC5,2.4944250512064547
TMCC2,2.492588811822317
KIF23,2.4884159347629113
ALCAM,2.4859852753123395
CMIP,2.4852014241512017
TYMP,2.4851659741370886
RPS6KA1,2.4851449293709282
WDHD1,2.4831368165404135
