gene,GSM515513,GSM515514,GSM515515,GSM515516,GSM515517,GSM515518
PSMA4,445,317,592,869,1123,1351
PSMA6,35,84,55,133,133,209
PSMA7,311,295,401,774,807,741
PSMB2,151,282,183,325,421,572
PSMB4,257,733,441,667,821,982
PSMB5,339,392,329,499,930,773
PSMB8,116,239,385,655,496,548
PSMB9,88,17,124,291,260,295
PSMC2,252,446,219,486,551,981
PSMC4,343,329,375,478,892,613
PSMC5,316,293,508,369,827,642
PSMC6,70,64,123,108,100,105
PSMD1,937,1151,1072,1180,1999,1969
PSMD10,149,148,185,259,285,533
PSMD11,514,972,404,1155,1398,1587
PSMD12,117,328,194,163,359,430
PSMD13,505,366,500,642,1597,1470
PSMD14,297,246,361,394,626,763
PSMD3,708,1337,678,2779,1490,1580
PSMD4,318,286,267,314,599,492
PSMD5,220,180,322,537,630,946
PSMD6,196,69,210,202,326,244
PSMD7,395,544,345,713,784,1041
PSMD8,256,267,262,315,860,349
PSMD9,112,70,95,287,321,462
PSME1,298,206,372,553,514,494
PSME2,69,155,203,265,323,236
PSME3,945,1004,719,1017,1799,2040
PSME4,1330,1468,1429,2362,3399,3826
PSMF1,626,659,525,1464,1147,633
PSMG1,92,202,149,144,219,312
PSMG2,137,80,190,140,237,123
PSMG3,81,350,74,214,232,278
PSMG4,54,77,48,55,168,95
PSPC1,347,302,367,369,641,385
PSPH,38,74,76,158,131,626
PSRC1,64,221,49,97,147,197
PSTPIP1,50,79,57,99,384,91
PSTPIP2,83,77,151,141,119,129
PTAFR,59,31,70,107,279,200
PTAR1,1075,597,1448,1049,2783,2491
PTBP1,1329,1861,1430,2176,2713,2071
PTBP2,242,131,531,285,699,450
PTCD1,131,205,146,526,316,329
PTCD2,101,44,56,70,160,65
PTCD3,671,697,1026,1493,1441,1112
PTCH1,103,86,81,275,231,138
PTDSS1,284,544,324,699,709,1693
PTDSS2,256,152,176,325,588,489
PTEN,682,422,802,539,1645,1851
PTENP1,82,35,89,22,241,279
PTER,108,135,210,205,298,245
PTGER3,134,48,86,24,296,116
PTGER4,116,42,153,206,277,117
PTGES,200,195,187,351,990,274
PTGES3,412,769,330,589,686,990
PTGFR,455,7,287,12,1736,46
PTGFRN,1644,2078,1036,1793,4101,10781
PTGIR,68,29,49,26,315,39
PTGIS,187,11,136,34,3314,121
PTGR1,646,343,984,926,697,528
PTGS1,468,525,899,624,1869,1456
PTGS2,486,44,660,368,654,229
PTHLH,46,515,110,2058,126,1891
PTK2,532,768,687,1172,1826,4494
PTK2B,407,563,291,1148,939,877
PTK6,693,37,497,888,682,624
PTK7,642,2829,744,2421,2238,5289
PTMA,34,111,41,52,52,66
PTMS,1560,2686,1394,4703,2567,3027
PTN,256,5,504,177,70,2
PTOV1,198,182,255,308,651,423
PTP4A1,751,427,978,1623,1462,1943
PTP4A2,330,297,305,365,1364,666
PTPDC1,87,30,148,177,523,371
PTPLB,129,168,139,261,210,530
PTPN1,516,843,414,678,1249,1148
PTPN11,834,789,709,1138,2029,1577
PTPN12,618,411,679,898,1580,2621
PTPN13,2426,1983,2218,1971,1942,2409
PTPN14,449,376,397,639,714,900
PTPN18,200,145,158,235,646,276
PTPN2,107,149,171,175,214,93
PTPN21,267,78,369,401,813,637
PTPN22,53,13,59,43,136,66
PTPN23,629,256,587,1062,1463,626
PTPN4,122,109,216,235,249,244
PTPN7,56,8,29,63,305,100
PTPN9,201,142,151,255,658,866
PTPRA,503,436,430,804,1292,596
PTPRB,408,70,348,98,2385,539
PTPRC,337,131,818,474,1766,584
PTPRD,75,10,97,1447,454,65
PTPRE,162,187,320,612,1089,844
PTPRF,5996,6805,4929,11385,5127,11384
PTPRG,356,161,428,403,2795,787
PTPRJ,176,150,231,299,1125,413
PTPRK,482,810,643,1086,1056,2140
PTPRM,295,51,274,525,2164,474
PTPRS,980,664,834,1420,1729,523
PTPRU,230,387,119,228,804,548
PTPRZ1,722,712,1169,5389,860,2472
PTRF,2536,2616,2254,2571,9928,4559
PTRH2,104,130,152,259,291,307
PTTG1IP,949,1233,863,1210,4543,2809
PUF60,462,811,490,941,1087,1665
PUM1,1055,973,1337,1446,2428,2717
PUM2,1619,1051,1884,3009,3306,3644
PURA,310,194,388,271,641,302
PURB,1462,1039,1463,3015,2717,1907
PUS1,225,479,153,638,533,409
PUS10,83,37,93,105,200,241
PUS3,49,25,63,49,109,100
PUS7,287,379,341,944,549,769
PUS7L,226,80,310,381,383,309
PUSL1,50,150,79,121,146,125
PVR,552,318,295,411,1931,913
PVRL1,1141,495,537,974,920,2128
PVRL2,363,144,188,298,884,435
