gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
ACO1,-0.5504515409362979,0.5397733342555722,0.3078315009390927,0.6367548235609585,tested,0.23865151566172157,0.24015733802128958,0.3203544059515755,0.4173656044256348,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.7891030565980195
ACO2,0.0538336327835728,0.4352632834494833,0.9015681567863142,0.9720735256587392,tested,-0.36004703402926375,0.2517805905073931,0.15271611899243087,0.22892028250041074,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.41388066681283653
ACOT11,0.1006826425217238,0.4519287306280473,0.8237033591081102,0.9455668149901448,tested,-0.22888440310829822,0.2813896476088776,0.4159845557777839,0.5141835275004116,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.32956704563002204
ACOT7,1.969540318688888,0.4326563192065041,5.308653478534765e-06,0.0001209820248275,tested,1.4269397760604003,0.2904997840094694,9.014439563165495e-07,6.665606719242091e-06,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.5426005426284877
ACOT8,0.2086448770509259,0.4900168155776137,0.6702599565124726,0.8758308795603139,tested,0.04253823518248351,0.16283247638084822,0.7939080060201353,0.8437783809145232,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.1661066418684424
ACOT9,0.1462614933141804,0.4436054386481908,0.7416185107616982,0.9101482234197446,tested,1.7846860427630036,0.28286146892735653,2.8011998792997004e-10,4.71266897695567e-09,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,1.6384245494488232
ACOX1,-0.1345603874382024,0.3876570107831554,0.7285072036215905,0.9039443346224671,tested,-0.6811587732918213,0.182957056680754,0.00019682837726001803,0.0007629503874248255,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.5465983858536189
ACOX3,-0.8249760902597217,0.419093446752025,0.0490131032870122,0.2249592237367195,tested,-0.8311781042267525,0.24450122676902775,0.0006751303298619285,0.0022622632603783413,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.006202013967030795
ACP1,0.3264373283585439,0.4561507837110767,0.4742169426437096,0.7696776146168413,tested,0.1993771749351473,0.14691857460912522,0.17476246234320703,0.25565562635848593,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.12706015342339658
ACP2,0.1686593714520168,0.4718105790728321,0.7207380079422694,0.900844558022209,tested,0.7160085844734028,0.24989864249424618,0.004167512396616527,0.010877335323820004,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.547349213021386
