gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
PKIA,306.5106803947079,-6.352798050713163,1.5826928163039757,-4.0139172840556006,5.971928163441048e-05,0.0010251810013907133,5.971928163441048e-05,True,tested,NM_006823,4,down
ELMO1,251.65069274116527,-1.7789560740117902,0.44391669391289096,-4.007409719898644,6.138831543809131e-05,0.001050400068391836,6.138831543809131e-05,True,tested,NM_014800,22,down
VWA5A,420.6341364681948,-2.199214876779194,0.5489680162949306,-4.006089264766338,6.173232726117561e-05,0.0010545688296031072,6.173232726117561e-05,True,tested,NM_001130142,19,down
TPM2,3559.6780194823154,-2.3207801079232113,0.579900043568922,-4.002034719018577,6.280008050021387e-05,0.0010697635629398838,6.280008050021387e-05,True,tested,NM_003289,9,down
TMPRSS11A,489.6412787499225,-2.566969618781906,0.6417066945827765,-4.000222594609041,6.328293040956979e-05,0.0010758098169626864,6.328293040956979e-05,True,tested,NM_001114387,10,down
ZSCAN18,182.4375446286683,-2.217804359697071,0.5548803454247436,-3.99690559952959,6.417587803937382e-05,0.001089227422749049,6.417587803937382e-05,True,tested,NM_023926,7,down
TBX3,510.49546197185913,-1.656614866268328,0.4146793163641839,-3.994930060156265,6.471335368541788e-05,0.0010955377714193634,6.471335368541788e-05,True,tested,NM_016569,8,down
ADRB2,166.56909202312133,-2.029331007097334,0.508525444426204,-3.990618423011526,6.590123356964907e-05,0.0011113296306303902,6.590123356964907e-05,True,tested,NM_000024,1,down
RBM20,108.90255030427694,-2.61975704688959,0.6565439328096034,-3.9902235265180876,6.6011055246851e-05,0.001111397670550347,6.6011055246851e-05,True,tested,NM_001134363,14,down
N4BP2L2,298.80614254288366,-2.0294788561451567,0.5089452565087681,-3.9876171949550194,6.67402379374292e-05,0.0011218767036330099,6.67402379374292e-05,True,tested,NM_033111,10,down
MMRN2,543.6972756279152,-1.6056605052714004,0.40272128603993973,-3.9870266631800524,6.690650902337884e-05,0.0011228750539930001,6.690650902337884e-05,True,tested,NM_024756,7,down
BCL2,160.7550437125373,-2.117263220138732,0.5312154279220674,-3.9856960262256305,6.728260322916997e-05,0.001127386012002647,6.728260322916997e-05,True,tested,NM_000633,3,down
C2orf55,105.66117646736171,-2.3588358482217924,0.5934682921103488,-3.9746619652313173,7.047928632617376e-05,0.0011753260034012406,7.047928632617376e-05,True,tested,NM_207362,10,down
ARHGAP29,402.4924971403716,-1.6502405448791477,0.4164404696659292,-3.9627285652688355,7.40980107032564e-05,0.0012317621842538162,7.40980107032564e-05,True,tested,NM_004815,23,down
CEACAM6,247.4358379307631,-2.104388270438849,0.5314744502583254,-3.959528570782663,7.5097860229365e-05,0.0012464109313897452,7.5097860229365e-05,True,tested,NM_002483,6,down
KLF2,121.31009951701738,-2.080174074777966,0.5260552238799868,-3.954288409941791,7.676276926410337e-05,0.0012720341543985333,7.676276926410337e-05,True,tested,NM_016270,3,down
ROR1,77.60978505907583,-2.4412495057550463,0.6185776660290571,-3.946552938819442,7.928439790636772e-05,0.0013096884974910367,7.928439790636772e-05,True,tested,NM_005012,9,down
H19,8841.824240839424,-1.7928352546176551,0.4550005943139599,-3.9402921161473508,8.138244859359303e-05,0.0013422354865373443,8.138244859359303e-05,True,tested,NR_002196,5,down
IL6ST,632.3524766854991,-1.5676321848291237,0.3980788359360589,-3.937994294881136,8.216554765301897e-05,0.0013530270276530052,8.216554765301897e-05,True,tested,NM_002184,17,down
LOC399959,195.81371320505298,-2.7958016506395214,0.7101787400935847,-3.93675773829994,8.25899091789381e-05,0.0013578866757964377,8.25899091789381e-05,True,tested,NR_024430,4,down
SEMA5A,451.2251570841343,-1.6379751504135474,0.41619514847602823,-3.9355940510389935,8.29911546242984e-05,0.0013623516726294983,8.29911546242984e-05,True,tested,NM_003966,23,down
IFITM2,128.2759255379137,-2.031983250916321,0.5164040738593515,-3.934870683204089,8.324150343927636e-05,0.001364329539989138,8.324150343927636e-05,True,tested,NM_006435,2,down
